"ballot_id","MP_id","surname","origin","party","gvt_party_at_home","vote_type_id","vote_id","ballot_pass","ft_process_step","ft_topic_id","ft_topic","ft_for","ft_against","ft_abstention","ft_absent","ballot_date","ballot_type_id","gvt_type_dk","gvt_bloc_dk","comment","ballot_result_string"
286,"247","Joensen","FO","B",TRUE,"3","114337",TRUE,"3. behandling",5104,"Forslag til lov om ændring af lov om statens voksenuddannelsesstøtte (SVU). (Målretning af SVU til videregående uddannelse).",98,8,0,73,2014-01-23,1,"coalition","left",NA,"Vedtaget

98 stemmer for forslaget (V, S, DF, RV, SF, LA, KF, UFG)

8 stemmer imod forslaget (EL)

0 stemmer hverken for eller imod forslaget

"
286,"262","Skaale","FO","C",FALSE,"3","114345",TRUE,"3. behandling",5104,"Forslag til lov om ændring af lov om statens voksenuddannelsesstøtte (SVU). (Målretning af SVU til videregående uddannelse).",98,8,0,73,2014-01-23,1,"coalition","left",NA,"Vedtaget

98 stemmer for forslaget (V, S, DF, RV, SF, LA, KF, UFG)

8 stemmer imod forslaget (EL)

0 stemmer hverken for eller imod forslaget

"
286,"294","Jakobsen","GL","SIU",TRUE,"3","114349",TRUE,"3. behandling",5104,"Forslag til lov om ændring af lov om statens voksenuddannelsesstøtte (SVU). (Målretning af SVU til videregående uddannelse).",98,8,0,73,2014-01-23,1,"coalition","left",NA,"Vedtaget

98 stemmer for forslaget (V, S, DF, RV, SF, LA, KF, UFG)

8 stemmer imod forslaget (EL)

0 stemmer hverken for eller imod forslaget

"
286,"13","Olsvig","GL","IA",FALSE,"3","114364",TRUE,"3. behandling",5104,"Forslag til lov om ændring af lov om statens voksenuddannelsesstøtte (SVU). (Målretning af SVU til videregående uddannelse).",98,8,0,73,2014-01-23,1,"coalition","left",NA,"Vedtaget

98 stemmer for forslaget (V, S, DF, RV, SF, LA, KF, UFG)

8 stemmer imod forslaget (EL)

0 stemmer hverken for eller imod forslaget

"
287,"247","Joensen","FO","B",TRUE,"3","114516",TRUE,"3. behandling",4696,"Forslag til lov om ændring af lov om Natur- og Miljøklagenævnet og forskellige andre love. (Obligatorisk digital selvbetjening ved indgivelse af klage samt obligatorisk videresendelse af klage over lokalplan til Natur- og Miljøklagenævnet m.v.).",93,13,0,73,2014-01-23,1,"coalition","left",NA,"Vedtaget

93 stemmer for forslaget (V, S, RV, SF, EL, LA, KF, UFG)

13 stemmer imod forslaget (DF)

0 stemmer hverken for eller imod forslaget

"
287,"262","Skaale","FO","C",FALSE,"3","114524",TRUE,"3. behandling",4696,"Forslag til lov om ændring af lov om Natur- og Miljøklagenævnet og forskellige andre love. (Obligatorisk digital selvbetjening ved indgivelse af klage samt obligatorisk videresendelse af klage over lokalplan til Natur- og Miljøklagenævnet m.v.).",93,13,0,73,2014-01-23,1,"coalition","left",NA,"Vedtaget

93 stemmer for forslaget (V, S, RV, SF, EL, LA, KF, UFG)

13 stemmer imod forslaget (DF)

0 stemmer hverken for eller imod forslaget

"
287,"294","Jakobsen","GL","SIU",TRUE,"3","114528",TRUE,"3. behandling",4696,"Forslag til lov om ændring af lov om Natur- og Miljøklagenævnet og forskellige andre love. (Obligatorisk digital selvbetjening ved indgivelse af klage samt obligatorisk videresendelse af klage over lokalplan til Natur- og Miljøklagenævnet m.v.).",93,13,0,73,2014-01-23,1,"coalition","left",NA,"Vedtaget

93 stemmer for forslaget (V, S, RV, SF, EL, LA, KF, UFG)

13 stemmer imod forslaget (DF)

0 stemmer hverken for eller imod forslaget

"
287,"13","Olsvig","GL","IA",FALSE,"3","114543",TRUE,"3. behandling",4696,"Forslag til lov om ændring af lov om Natur- og Miljøklagenævnet og forskellige andre love. (Obligatorisk digital selvbetjening ved indgivelse af klage samt obligatorisk videresendelse af klage over lokalplan til Natur- og Miljøklagenævnet m.v.).",93,13,0,73,2014-01-23,1,"coalition","left",NA,"Vedtaget

93 stemmer for forslaget (V, S, RV, SF, EL, LA, KF, UFG)

13 stemmer imod forslaget (DF)

0 stemmer hverken for eller imod forslaget

"
288,"247","Joensen","FO","B",TRUE,"3","114695",TRUE,"3. behandling",4799,"Forslag til lov om ændring af lov om miljøbeskyttelse. (Gennemførelse af direktivet om affald af elektrisk og elektronisk udstyr (WEEE), gebyrfinansiering af indsamleruddannelsen, digital indberetning på dækordningen m.v.).",54,51,0,74,2014-01-23,1,"coalition","left",NA,"Vedtaget

54 stemmer for forslaget (S, RV, SF, EL, UFG)

51 stemmer imod forslaget (V, DF, LA, KF)

0 stemmer hverken for eller imod forslaget

"
288,"262","Skaale","FO","C",FALSE,"3","114703",TRUE,"3. behandling",4799,"Forslag til lov om ændring af lov om miljøbeskyttelse. (Gennemførelse af direktivet om affald af elektrisk og elektronisk udstyr (WEEE), gebyrfinansiering af indsamleruddannelsen, digital indberetning på dækordningen m.v.).",54,51,0,74,2014-01-23,1,"coalition","left",NA,"Vedtaget

54 stemmer for forslaget (S, RV, SF, EL, UFG)

51 stemmer imod forslaget (V, DF, LA, KF)

0 stemmer hverken for eller imod forslaget

"
288,"294","Jakobsen","GL","SIU",TRUE,"3","114707",TRUE,"3. behandling",4799,"Forslag til lov om ændring af lov om miljøbeskyttelse. (Gennemførelse af direktivet om affald af elektrisk og elektronisk udstyr (WEEE), gebyrfinansiering af indsamleruddannelsen, digital indberetning på dækordningen m.v.).",54,51,0,74,2014-01-23,1,"coalition","left",NA,"Vedtaget

54 stemmer for forslaget (S, RV, SF, EL, UFG)

51 stemmer imod forslaget (V, DF, LA, KF)

0 stemmer hverken for eller imod forslaget

"
288,"13","Olsvig","GL","IA",FALSE,"3","114722",TRUE,"3. behandling",4799,"Forslag til lov om ændring af lov om miljøbeskyttelse. (Gennemførelse af direktivet om affald af elektrisk og elektronisk udstyr (WEEE), gebyrfinansiering af indsamleruddannelsen, digital indberetning på dækordningen m.v.).",54,51,0,74,2014-01-23,1,"coalition","left",NA,"Vedtaget

54 stemmer for forslaget (S, RV, SF, EL, UFG)

51 stemmer imod forslaget (V, DF, LA, KF)

0 stemmer hverken for eller imod forslaget

"
289,"247","Joensen","FO","B",TRUE,"3","114874",TRUE,"3. behandling",4977,"Forslag til lov om ændring af lov om indendørs hold af drægtige søer og gylte. (Forbud mod fiksering i løbe- og kontrolafdelingen m.v.).",59,32,13,75,2014-01-23,1,"coalition","left",NA,"Vedtaget

59 stemmer for forslaget (S, RV, SF, EL, KF, UFG)

32 stemmer imod forslaget (V, LA)

13 stemmer hverken for eller imod forslaget (DF)

"
289,"262","Skaale","FO","C",FALSE,"3","114882",TRUE,"3. behandling",4977,"Forslag til lov om ændring af lov om indendørs hold af drægtige søer og gylte. (Forbud mod fiksering i løbe- og kontrolafdelingen m.v.).",59,32,13,75,2014-01-23,1,"coalition","left",NA,"Vedtaget

59 stemmer for forslaget (S, RV, SF, EL, KF, UFG)

32 stemmer imod forslaget (V, LA)

13 stemmer hverken for eller imod forslaget (DF)

"
289,"294","Jakobsen","GL","SIU",TRUE,"3","114886",TRUE,"3. behandling",4977,"Forslag til lov om ændring af lov om indendørs hold af drægtige søer og gylte. (Forbud mod fiksering i løbe- og kontrolafdelingen m.v.).",59,32,13,75,2014-01-23,1,"coalition","left",NA,"Vedtaget

59 stemmer for forslaget (S, RV, SF, EL, KF, UFG)

32 stemmer imod forslaget (V, LA)

13 stemmer hverken for eller imod forslaget (DF)

"
289,"13","Olsvig","GL","IA",FALSE,"3","114901",TRUE,"3. behandling",4977,"Forslag til lov om ændring af lov om indendørs hold af drægtige søer og gylte. (Forbud mod fiksering i løbe- og kontrolafdelingen m.v.).",59,32,13,75,2014-01-23,1,"coalition","left",NA,"Vedtaget

59 stemmer for forslaget (S, RV, SF, EL, KF, UFG)

32 stemmer imod forslaget (V, LA)

13 stemmer hverken for eller imod forslaget (DF)

"
290,"247","Joensen","FO","B",TRUE,"3","115053",TRUE,"3. behandling",5181,"Forslag til lov om ændring af retsplejeloven, lov om retsafgifter, konkursloven og lov om fuldbyrdelse af straf m.v. (Sagstilgangen til Højesteret m.v.).",105,0,0,74,2014-01-23,1,"coalition","left",NA,"Vedtaget

105 stemmer for forslaget (V, S, DF, RV, SF, EL, LA, KF, UFG)

0 stemmer imod forslaget

0 stemmer hverken for eller imod forslaget

"
290,"262","Skaale","FO","C",FALSE,"3","115061",TRUE,"3. behandling",5181,"Forslag til lov om ændring af retsplejeloven, lov om retsafgifter, konkursloven og lov om fuldbyrdelse af straf m.v. (Sagstilgangen til Højesteret m.v.).",105,0,0,74,2014-01-23,1,"coalition","left",NA,"Vedtaget

105 stemmer for forslaget (V, S, DF, RV, SF, EL, LA, KF, UFG)

0 stemmer imod forslaget

0 stemmer hverken for eller imod forslaget

"
290,"294","Jakobsen","GL","SIU",TRUE,"3","115065",TRUE,"3. behandling",5181,"Forslag til lov om ændring af retsplejeloven, lov om retsafgifter, konkursloven og lov om fuldbyrdelse af straf m.v. (Sagstilgangen til Højesteret m.v.).",105,0,0,74,2014-01-23,1,"coalition","left",NA,"Vedtaget

105 stemmer for forslaget (V, S, DF, RV, SF, EL, LA, KF, UFG)

0 stemmer imod forslaget

0 stemmer hverken for eller imod forslaget

"
290,"13","Olsvig","GL","IA",FALSE,"3","115080",TRUE,"3. behandling",5181,"Forslag til lov om ændring af retsplejeloven, lov om retsafgifter, konkursloven og lov om fuldbyrdelse af straf m.v. (Sagstilgangen til Højesteret m.v.).",105,0,0,74,2014-01-23,1,"coalition","left",NA,"Vedtaget

105 stemmer for forslaget (V, S, DF, RV, SF, EL, LA, KF, UFG)

0 stemmer imod forslaget

0 stemmer hverken for eller imod forslaget

"
291,"247","Joensen","FO","B",TRUE,"3","115232",TRUE,"3. behandling",5252,"Forslag til lov om ændring af udlændingeloven. (Ret til fortsat ophold ved ægtefælles død).",92,0,13,74,2014-01-23,1,"coalition","left",NA,"Vedtaget

92 stemmer for forslaget (V, S, RV, SF, EL, LA, KF, UFG)

0 stemmer imod forslaget

13 stemmer hverken for eller imod forslaget (DF)

"
291,"262","Skaale","FO","C",FALSE,"3","115240",TRUE,"3. behandling",5252,"Forslag til lov om ændring af udlændingeloven. (Ret til fortsat ophold ved ægtefælles død).",92,0,13,74,2014-01-23,1,"coalition","left",NA,"Vedtaget

92 stemmer for forslaget (V, S, RV, SF, EL, LA, KF, UFG)

0 stemmer imod forslaget

13 stemmer hverken for eller imod forslaget (DF)

"
291,"294","Jakobsen","GL","SIU",TRUE,"3","115244",TRUE,"3. behandling",5252,"Forslag til lov om ændring af udlændingeloven. (Ret til fortsat ophold ved ægtefælles død).",92,0,13,74,2014-01-23,1,"coalition","left",NA,"Vedtaget

92 stemmer for forslaget (V, S, RV, SF, EL, LA, KF, UFG)

0 stemmer imod forslaget

13 stemmer hverken for eller imod forslaget (DF)

"
291,"13","Olsvig","GL","IA",FALSE,"3","115259",TRUE,"3. behandling",5252,"Forslag til lov om ændring af udlændingeloven. (Ret til fortsat ophold ved ægtefælles død).",92,0,13,74,2014-01-23,1,"coalition","left",NA,"Vedtaget

92 stemmer for forslaget (V, S, RV, SF, EL, LA, KF, UFG)

0 stemmer imod forslaget

13 stemmer hverken for eller imod forslaget (DF)

"
292,"247","Joensen","FO","B",TRUE,"3","115413",FALSE,"1. (eneste) behandling",4665,"Forslag til folketingsbeslutning om etablering af en whistleblowerordning på forsvarsområdet.",9,95,0,75,2014-01-23,1,"coalition","left",NA,"Forkastet

9 stemmer for forslaget (EL, UFG)

95 stemmer imod forslaget (V, S, DF, RV, SF, LA, KF)

0 stemmer hverken for eller imod forslaget

"
292,"262","Skaale","FO","C",FALSE,"3","115420",FALSE,"1. (eneste) behandling",4665,"Forslag til folketingsbeslutning om etablering af en whistleblowerordning på forsvarsområdet.",9,95,0,75,2014-01-23,1,"coalition","left",NA,"Forkastet

9 stemmer for forslaget (EL, UFG)

95 stemmer imod forslaget (V, S, DF, RV, SF, LA, KF)

0 stemmer hverken for eller imod forslaget

"
